06/26/15 15:13:32 2424719136   FINEST    run from front, not as a daemon {src/epicsgw.cc 53  }
06/26/15 15:13:53 2400147200  WARNING    WINSOCK ERROR--xos_socket_make_connection failed {src/DcsMessageHandler.cxx 144  }
06/26/15 15:13:58 2400147200   FINEST    -DcsMessageHandler::MakeSocketConnection {src/DcsMessageHandler.cxx 148  }
06/26/15 15:13:58 2400147200  WARNING    MakeSocketConnection failed {src/DcsMessageHandler.cxx 105  }
06/26/15 15:13:58 2400147200   FINEST    -DcsMessageHandler::ConnectToDCSS {src/DcsMessageHandler.cxx 106  }
06/26/15 15:14:03 2400147200   FINEST    trying to connect to DCSS {src/DcsMessageService.cxx 93  }
06/26/15 15:14:03 2400147200   FINEST    +DcsMessageHandler::ConnectToDCSS {src/DcsMessageHandler.cxx 85  }
06/26/15 15:14:03 2400147200   FINEST    +DcsMessageHandler::MakeSocketConnection {src/DcsMessageHandler.cxx 131  }
06/26/15 15:14:03 2400147200  WARNING    Unable to connect to server: localhost {src/DcsMessageHandler.cxx 143  }
06/26/15 15:14:03 2400147200  WARNING    WINSOCK ERROR--xos_socket_make_connection failed {src/DcsMessageHandler.cxx 144  }
06/26/15 15:14:08 2400147200   FINEST    -DcsMessageHandler::MakeSocketConnection {src/DcsMessageHandler.cxx 148  }
06/26/15 15:14:08 2400147200  WARNING    MakeSocketConnection failed {src/DcsMessageHandler.cxx 105  }
06/26/15 15:14:08 2400147200   FINEST    -DcsMessageHandler::ConnectToDCSS {src/DcsMessageHandler.cxx 106  }
06/26/15 15:14:13 2400147200   FINEST    trying to connect to DCSS {src/DcsMessageService.cxx 93  }
06/26/15 15:14:13 2400147200   FINEST    +DcsMessageHandler::ConnectToDCSS {src/DcsMessageHandler.cxx 85  }
06/26/15 15:14:13 2400147200   FINEST    +DcsMessageHandler::MakeSocketConnection {src/DcsMessageHandler.cxx 131  }
06/26/15 15:14:13 2400147200  WARNING    Unable to connect to server: localhost {src/DcsMessageHandler.cxx 143  }
06/26/15 15:14:13 2400147200  WARNING    WINSOCK ERROR--xos_socket_make_connection failed {src/DcsMessageHandler.cxx 144  }
06/26/15 15:14:18 2400147200   FINEST    -DcsMessageHandler::MakeSocketConnection {src/DcsMessageHandler.cxx 148  }
06/26/15 15:14:18 2400147200  WARNING    MakeSocketConnection failed {src/DcsMessageHandler.cxx 105  }
06/26/15 15:14:18 2400147200   FINEST    -DcsMessageHandler::ConnectToDCSS {src/DcsMessageHandler.cxx 106  }
